date_str,Value,date_date
01/01/1964,1.292,1964-01-01
02/01/1964,1.294,1964-02-01
03/01/1964,1.303,1964-03-01
04/01/1964,1.293,1964-04-01
05/01/1964,1.292,1964-05-01
06/01/1964,1.292,1964-06-01
07/01/1964,1.294,1964-07-01
08/01/1964,1.299,1964-08-01
09/01/1964,1.309,1964-09-01
10/01/1964,1.3,1964-10-01
11/01/1964,1.298,1964-11-01
12/01/1964,1.313,1964-12-01
01/01/1965,1.302,1965-01-01
02/01/1965,1.301,1965-02-01
03/01/1965,1.296,1965-03-01
04/01/1965,1.3,1965-04-01
05/01/1965,1.292,1965-05-01
06/01/1965,1.288,1965-06-01
07/01/1965,1.29,1965-07-01
08/01/1965,1.294,1965-08-01
09/01/1965,1.295,1965-09-01
10/01/1965,1.293,1965-10-01
11/01/1965,1.294,1965-11-01
12/01/1965,1.297,1965-12-01
01/01/1966,1.295,1966-01-01
02/01/1966,1.293,1966-02-01
03/01/1966,1.29,1966-03-01
04/01/1966,1.295,1966-04-01
05/01/1966,1.29,1966-05-01
06/01/1966,1.295,1966-06-01
07/01/1966,1.301,1966-07-01
08/01/1966,1.308,1966-08-01
09/01/1966,1.307,1966-09-01
10/01/1966,1.296,1966-10-01
11/01/1966,1.296,1966-11-01
12/01/1966,1.305,1966-12-01
01/01/1967,1.293,1967-01-01
02/01/1967,1.3,1967-02-01
03/01/1967,1.296,1967-03-01
04/01/1967,1.304,1967-04-01
05/01/1967,1.611,1967-05-01
06/01/1967,1.696,1967-06-01
07/01/1967,1.844,1967-07-01
08/01/1967,1.682,1967-08-01
09/01/1967,1.71,1967-09-01
10/01/1967,1.878,1967-10-01
11/01/1967,2.032,1967-11-01
12/01/1967,2.253,1967-12-01
01/01/1968,1.96,1968-01-01
02/01/1968,2.08,1968-02-01
03/01/1968,2.28,1968-03-01
04/01/1968,2.4,1968-04-01
05/01/1968,2.48,1968-05-01
06/01/1968,2.5,1968-06-01
07/01/1968,2.29,1968-07-01
08/01/1968,2.24,1968-08-01
09/01/1968,2.17,1968-09-01
10/01/1968,1.93,1968-10-01
11/01/1968,1.97,1968-11-01
12/01/1968,1.95,1968-12-01
01/01/1969,2.0,1969-01-01
02/01/1969,1.83,1969-02-01
03/01/1969,1.83,1969-03-01
04/01/1969,1.78,1969-04-01
05/01/1969,1.77,1969-05-01
06/01/1969,1.56,1969-06-01
07/01/1969,1.63,1969-07-01
08/01/1969,1.67,1969-08-01
09/01/1969,1.88,1969-09-01
10/01/1969,1.95,1969-10-01
11/01/1969,1.89,1969-11-01
12/01/1969,1.79,1969-12-01
01/01/1970,1.91,1970-01-01
02/01/1970,1.9,1970-02-01
03/01/1970,1.88,1970-03-01
04/01/1970,1.72,1970-04-01
05/01/1970,1.63,1970-05-01
06/01/1970,1.61,1970-06-01
07/01/1970,1.77,1970-07-01
08/01/1970,1.84,1970-08-01
09/01/1970,1.7,1970-09-01
10/01/1970,1.78,1970-10-01
11/01/1970,1.65,1970-11-01
12/01/1970,1.63,1970-12-01
01/01/1971,1.59,1971-01-01
02/01/1971,1.59,1971-02-01
03/01/1971,1.69,1971-03-01
04/01/1971,1.69,1971-04-01
05/01/1971,1.6,1971-05-01
06/01/1971,1.58,1971-06-01
07/01/1971,1.59,1971-07-01
08/01/1971,1.5,1971-08-01
09/01/1971,1.38,1971-09-01
10/01/1971,1.31,1971-10-01
11/01/1971,1.33,1971-11-01
12/01/1971,1.37,1971-12-01
01/01/1972,1.5,1972-01-01
02/01/1972,1.47,1972-02-01
03/01/1972,1.56,1972-03-01
04/01/1972,1.57,1972-04-01
05/01/1972,1.55,1972-05-01
06/01/1972,1.56,1972-06-01
07/01/1972,1.83,1972-07-01
08/01/1972,1.91,1972-08-01
09/01/1972,1.74,1972-09-01
10/01/1972,1.8,1972-10-01
11/01/1972,1.85,1972-11-01
12/01/1972,2.03,1972-12-01
01/01/1973,2.01,1973-01-01
02/01/1973,2.43,1973-02-01
03/01/1973,2.2,1973-03-01
04/01/1973,2.15,1973-04-01
05/01/1973,2.55,1973-05-01
06/01/1973,2.67,1973-06-01
07/01/1973,2.76,1973-07-01
08/01/1973,2.6,1973-08-01
09/01/1973,2.7,1973-09-01
10/01/1973,2.84,1973-10-01
11/01/1973,2.92,1973-11-01
12/01/1973,3.26,1973-12-01
01/01/1974,3.87,1974-01-01
02/01/1974,5.69,1974-02-01
03/01/1974,5.35,1974-03-01
04/01/1974,5.62,1974-04-01
05/01/1974,4.92,1974-05-01
06/01/1974,4.61,1974-06-01
07/01/1974,4.79,1974-07-01
08/01/1974,4.12,1974-08-01
09/01/1974,4.25,1974-09-01
10/01/1974,4.86,1974-10-01
11/01/1974,4.46,1974-11-01
12/01/1974,4.47,1974-12-01
01/01/1975,4.15,1975-01-01
02/01/1975,4.42,1975-02-01
03/01/1975,4.28,1975-03-01
04/01/1975,4.43,1975-04-01
05/01/1975,4.53,1975-05-01
06/01/1975,4.57,1975-06-01
07/01/1975,5.0,1975-07-01
08/01/1975,4.63,1975-08-01
09/01/1975,4.44,1975-09-01
10/01/1975,4.19,1975-10-01
11/01/1975,4.23,1975-11-01
12/01/1975,4.18,1975-12-01
01/01/1976,4.01,1976-01-01
02/01/1976,4.16,1976-02-01
03/01/1976,4.11,1976-03-01
04/01/1976,4.43,1976-04-01
05/01/1976,4.62,1976-05-01
06/01/1976,4.83,1976-06-01
07/01/1976,4.54,1976-07-01
08/01/1976,4.11,1976-08-01
09/01/1976,4.39,1976-09-01
10/01/1976,4.27,1976-10-01
11/01/1976,4.28,1976-11-01
12/01/1976,4.36,1976-12-01
01/01/1977,4.45,1977-01-01
02/01/1977,4.73,1977-02-01
03/01/1977,4.83,1977-03-01
04/01/1977,4.71,1977-04-01
05/01/1977,4.56,1977-05-01
06/01/1977,4.51,1977-06-01
07/01/1977,4.52,1977-07-01
08/01/1977,4.45,1977-08-01
09/01/1977,4.65,1977-09-01
10/01/1977,4.85,1977-10-01
11/01/1977,4.74,1977-11-01
12/01/1977,4.76,1977-12-01
01/01/1978,4.95,1978-01-01
02/01/1978,4.97,1978-02-01
03/01/1978,5.35,1978-03-01
04/01/1978,5.0,1978-04-01
05/01/1978,5.47,1978-05-01
06/01/1978,5.28,1978-06-01
07/01/1978,5.57,1978-07-01
08/01/1978,5.53,1978-08-01
09/01/1978,5.67,1978-09-01
10/01/1978,6.26,1978-10-01
11/01/1978,5.91,1978-11-01
12/01/1978,6.02,1978-12-01
01/01/1979,6.71,1979-01-01
02/01/1979,7.69,1979-02-01
03/01/1979,7.45,1979-03-01
04/01/1979,7.65,1979-04-01
05/01/1979,8.77,1979-05-01
06/01/1979,8.54,1979-06-01
07/01/1979,9.08,1979-07-01
08/01/1979,10.32,1979-08-01
