Date,Value,Month,Year
1931-08-01,22.59,8,1931
1931-09-01,22.59,9,1931
1931-10-01,22.59,10,1931
1931-11-01,22.59,11,1931
1931-12-01,22.59,12,1931
1932-01-01,20.78,1,1932
1932-02-01,20.78,2,1932
1932-03-01,20.78,3,1932
1932-04-01,20.78,4,1932
1932-05-01,20.78,5,1932
1932-06-01,20.78,6,1932
1932-07-01,20.78,7,1932
1932-08-01,20.78,8,1932
1932-09-01,20.78,9,1932
1932-10-01,20.78,10,1932
1932-11-01,20.78,11,1932
1932-12-01,20.78,12,1932
1933-01-01,26.47,1,1933
1933-02-01,26.47,2,1933
1933-03-01,26.47,3,1933
1933-04-01,26.47,4,1933
1933-05-01,26.47,5,1933
1933-06-01,26.47,6,1933
1933-07-01,26.47,7,1933
1933-08-01,26.47,8,1933
1933-09-01,26.47,9,1933
1933-10-01,26.47,10,1933
1933-11-01,26.47,11,1933
1933-12-01,26.47,12,1933
1934-01-01,35.0,1,1934
1934-02-01,35.0,2,1934
1934-03-01,35.0,3,1934
1934-04-01,35.0,4,1934
1934-05-01,35.0,5,1934
1934-06-01,35.0,6,1934
1934-07-01,35.0,7,1934
1934-08-01,35.0,8,1934
1934-09-01,35.0,9,1934
1934-10-01,35.0,10,1934
1934-11-01,35.0,11,1934
1934-12-01,35.0,12,1934
1935-01-01,35.0,1,1935
1935-02-01,35.0,2,1935
1935-03-01,35.0,3,1935
1935-04-01,35.0,4,1935
1935-05-01,35.0,5,1935
1935-06-01,35.0,6,1935
1935-07-01,35.0,7,1935
1935-08-01,35.0,8,1935
1935-09-01,35.0,9,1935
1935-10-01,35.0,10,1935
1935-11-01,35.0,11,1935
1935-12-01,35.0,12,1935
1936-01-01,35.0,1,1936
1936-02-01,35.0,2,1936
1936-03-01,35.0,3,1936
1936-04-01,35.0,4,1936
1936-05-01,35.0,5,1936
1936-06-01,35.0,6,1936
1936-07-01,35.0,7,1936
1936-08-01,35.0,8,1936
1936-09-01,35.0,9,1936
1936-10-01,35.0,10,1936
1936-11-01,35.0,11,1936
1936-12-01,35.0,12,1936
1937-01-01,35.0,1,1937
1937-02-01,35.0,2,1937
1937-03-01,35.0,3,1937
1937-04-01,35.0,4,1937
1937-05-01,35.0,5,1937
1937-06-01,35.0,6,1937
1937-07-01,35.0,7,1937
1937-08-01,35.0,8,1937
1937-09-01,35.0,9,1937
1937-10-01,35.0,10,1937
1937-11-01,35.0,11,1937
1937-12-01,35.0,12,1937
1938-01-01,35.0,1,1938
1938-02-01,35.0,2,1938
1938-03-01,35.0,3,1938
1938-04-01,35.0,4,1938
1938-05-01,35.0,5,1938
1938-06-01,35.0,6,1938
1938-07-01,35.0,7,1938
1938-08-01,35.0,8,1938
1938-09-01,35.0,9,1938
1938-10-01,35.0,10,1938
1938-11-01,35.0,11,1938
1938-12-01,35.0,12,1938
1939-01-01,34.69,1,1939
1939-02-01,34.69,2,1939
1939-03-01,34.69,3,1939
1939-04-01,34.69,4,1939
1939-05-01,34.69,5,1939
1939-06-01,34.69,6,1939
1939-07-01,34.69,7,1939
1939-08-01,34.69,8,1939
1939-09-01,34.69,9,1939
1939-10-01,34.69,10,1939
1939-11-01,34.69,11,1939
1939-12-01,34.69,12,1939
1940-01-01,34.06,1,1940
1940-02-01,34.06,2,1940
1940-03-01,34.06,3,1940
1940-04-01,34.06,4,1940
1940-05-01,34.06,5,1940
1940-06-01,34.06,6,1940
1940-07-01,34.06,7,1940
1940-08-01,34.06,8,1940
1940-09-01,34.06,9,1940
1940-10-01,34.06,10,1940
1940-11-01,34.06,11,1940
1940-12-01,34.06,12,1940
1941-01-01,34.06,1,1941
1941-02-01,34.06,2,1941
1941-03-01,34.06,3,1941
1941-04-01,34.06,4,1941
1941-05-01,34.06,5,1941
1941-06-01,34.06,6,1941
1941-07-01,34.06,7,1941
1941-08-01,34.06,8,1941
1941-09-01,34.06,9,1941
1941-10-01,34.06,10,1941
1941-11-01,34.06,11,1941
1941-12-01,34.06,12,1941
1942-01-01,34.06,1,1942
1942-02-01,34.06,2,1942
1942-03-01,34.06,3,1942
1942-04-01,34.06,4,1942
1942-05-01,34.06,5,1942
1942-06-01,34.06,6,1942
1942-07-01,34.06,7,1942
1942-08-01,34.06,8,1942
1942-09-01,34.06,9,1942
1942-10-01,34.06,10,1942
1942-11-01,34.06,11,1942
1942-12-01,34.06,12,1942
1943-01-01,34.06,1,1943
1943-02-01,34.06,2,1943
1943-03-01,34.06,3,1943
1943-04-01,34.06,4,1943
1943-05-01,34.06,5,1943
1943-06-01,34.06,6,1943
1943-07-01,34.06,7,1943
1943-08-01,34.06,8,1943
1943-09-01,34.06,9,1943
1943-10-01,34.06,10,1943
1943-11-01,34.06,11,1943
1943-12-01,34.06,12,1943
1944-01-01,34.06,1,1944
1944-02-01,34.06,2,1944
1944-03-01,34.06,3,1944
1944-04-01,34.06,4,1944
1944-05-01,34.06,5,1944
1944-06-01,34.06,6,1944
1944-07-01,34.06,7,1944
1944-08-01,34.06,8,1944
1944-09-01,34.06,9,1944
1944-10-01,34.06,10,1944
1944-11-01,34.06,11,1944
1944-12-01,34.06,12,1944
1945-01-01,35.0,1,1945
1945-02-01,35.0,2,1945
1945-03-01,35.0,3,1945
1945-04-01,35.0,4,1945
1945-05-01,35.0,5,1945
1945-06-01,35.0,6,1945
1945-07-01,35.0,7,1945
1945-08-01,35.0,8,1945
1945-09-01,35.0,9,1945
1945-10-01,35.0,10,1945
1945-11-01,35.0,11,1945
1945-12-01,35.0,12,1945
1946-01-01,35.0,1,1946
1946-02-01,35.0,2,1946
1946-03-01,35.0,3,1946
1946-04-01,35.0,4,1946
1946-05-01,35.0,5,1946
1946-06-01,35.0,6,1946
1946-07-01,35.0,7,1946
1946-08-01,35.0,8,1946
1946-09-01,35.0,9,1946
1946-10-01,35.0,10,1946
1946-11-01,35.0,11,1946
1946-12-01,35.0,12,1946
1947-01-01,35.0,1,1947
1947-02-01,35.0,2,1947
1947-03-01,35.0,3,1947
1947-04-01,35.0,4,1947
1947-05-01,35.0,5,1947
1947-06-01,35.0,6,1947
1947-07-01,35.0,7,1947
1947-08-01,35.0,8,1947
1947-09-01,35.0,9,1947
1947-10-01,35.0,10,1947
1947-11-01,35.0,11,1947
1947-12-01,35.0,12,1947
1948-01-01,35.0,1,1948
1948-02-01,35.0,2,1948
1948-03-01,35.0,3,1948
1948-04-01,35.0,4,1948
1948-05-01,35.0,5,1948
1948-06-01,35.0,6,1948
1948-07-01,35.0,7,1948
1948-08-01,35.0,8,1948
1948-09-01,35.0,9,1948
1948-10-01,35.0,10,1948
1948-11-01,35.0,11,1948
1948-12-01,35.0,12,1948
