Commodity,Minimum_Price,Maximum_Price,Mean_Price,Standard_Deviation,Price_Range,Range_Percent_of_Mean,Coefficient_of_Variation_%
Gold,19.25,5277.89,397.5513943113773,651.3945247502007,5258.64,1322.757277485797,163.85165140183207
Silver,0.28,113.9528,6.421755164670659,9.896696418557909,113.6728,1770.120427906873,154.11201711651464
Brent Oil,21.11,211.21,62.70947040498442,35.96422758130158,190.10000000000002,303.14400484059905,57.350552235636464
